trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
654,False,"{'a': 0.6, 'e': 0.0013977106257519888}",30,0,48.74221704243498,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.6, 'e': 0.001383733519494469}",20,14,13.726049030182875,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.6, 'e': 0.0013698961842995242}",20,12,17.486971372039903,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
657,False,"{'a': 0.6, 'e': 0.001356197222456529}",20,12,12.004060878819516,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.6, 'e': 0.0013426352502319636}",20,2,33.28924462662299,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
659,False,"{'a': 0.6, 'e': 0.001329208897729644}",20,2,27.584146194867554,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
660,False,"{'a': 0.6, 'e': 0.0013159168087523475}",25,11,21.996818983473286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
661,False,"{'a': 0.6, 'e': 0.0013027576406648242}",25,9,26.459098288783316,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.6, 'e': 0.0012897300642581758}",35,3,51.619039430237805,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.6, 'e': 0.001276832763615594}",20,14,12.394626951776747,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.6, 'e': 0.0012640644359794382}",20,10,19.15416098220848,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.6, 'e': 0.0012514237916196437}",25,14,21.91647022724613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
666,False,"{'a': 0.6, 'e': 0.0012389095537034473}",35,23,21.710745741981942,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.6, 'e': 0.0012265204581664128}",20,16,8.511120634476493,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
668,False,"{'a': 0.6, 'e': 0.0012142552535847487}",30,16,22.328043838520944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
669,False,"{'a': 0.6, 'e': 0.0012021127010489012}",25,6,32.39268790053343,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.6, 'e': 0.0011900915740384122}",20,7,22.396147527924136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.6, 'e': 0.001178190658298028}",20,10,17.671059756982643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.6, 'e': 0.0011664087517150477}",20,10,20.207117021002595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.6, 'e': 0.0011547446641978973}",20,0,30.771594057050034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
674,False,"{'a': 0.6, 'e': 0.0011431972175559183}",20,5,26.354185576124387,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.6, 'e': 0.0011317652453803591}",30,17,22.840244518454142,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.6, 'e': 0.0011204475929265554}",25,4,38.756277392392775,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.6, 'e': 0.0011092431169972899}",20,0,34.910663425699575,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
678,False,"{'a': 0.6, 'e': 0.001098150685827317}",20,12,13.493166134514905,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.6, 'e': 0.0010871691789690438}",20,0,33.76289291824102,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
680,False,"{'a': 0.6, 'e': 0.0010762974871793534}",20,11,16.421055522583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.6, 'e': 0.0010655345123075598}",20,8,22.710925539031038,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.6, 'e': 0.0010548791671844842}",30,18,21.892455279481133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.6, 'e': 0.0010443303755126394}",30,15,24.990771957702503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.6, 'e': 0.001033887071757513}",25,13,22.805024477942712,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.6, 'e': 0.0010235482010399377}",20,3,31.305158290631283,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
